date,ageSib,ethnicityCensus,allegation,geog,datacol
2014,1,12,1,1,60.44
2014,1,12,1,2,79.37
2014,1,12,1,3,9.24
2014,1,12,1,4,21.06
2014,1,12,1,5,19.57
2014,1,12,1,6,23.56
2014,1,12,2,2,.00
2014,1,12,2,3,4.62
2014,1,12,2,4,5.74
2014,1,12,2,5,3.16
2014,1,12,2,6,13.09
2014,1,12,3,1,153.85
2014,1,12,3,2,111.11
2014,1,12,3,3,42.37
2014,1,12,3,4,66.19
2014,1,12,3,5,62.64
2014,1,12,3,6,75.92
2014,1,12,4,1,181.32
2014,1,12,4,2,142.86
2014,1,12,4,3,52.26
2014,1,12,4,4,77.95
2014,1,12,4,5,73.83
2014,1,12,4,6,102.09
2014,2,0,0,1,55.07
2014,2,0,0,2,46.81
2014,2,0,0,3,40.83
2014,2,0,0,4,34.91
2014,2,0,0,5,44.65
2014,2,0,0,6,51.85
2014,2,0,1,1,15.00
2014,2,0,1,2,12.69
2014,2,0,1,3,9.61
2014,2,0,1,4,10.70
2014,2,0,1,5,15.74
2014,2,0,1,6,16.45
2014,2,0,2,1,3.61
2014,2,0,2,2,3.11
2014,2,0,2,3,1.85
2014,2,0,2,4,1.77
2014,2,0,2,5,2.32
2014,2,0,2,6,2.82
2014,2,0,3,1,32.83
2014,2,0,3,2,26.86
2014,2,0,3,3,21.23
2014,2,0,3,4,18.39
2014,2,0,3,5,23.52
2014,2,0,3,6,27.90
2014,2,0,4,1,41.27
2014,2,0,4,2,33.65
2014,2,0,4,3,28.41
2014,2,0,4,4,25.97
2014,2,0,4,5,35.05
2014,2,0,4,6,39.47
2014,2,1,0,1,153.48
2014,2,1,0,2,221.05
2014,2,1,0,3,138.03
2014,2,1,0,4,137.54
2014,2,1,0,5,111.11
2014,2,1,0,6,99.08
2014,2,1,1,1,50.12
2014,2,1,1,2,41.16
2014,2,1,1,3,20.25
2014,2,1,1,4,23.68
2014,2,1,1,5,24.05
2014,2,1,1,6,21.65
2014,2,1,2,1,15.73
2014,2,1,2,2,16.61
2014,2,1,2,3,5.79
2014,2,1,2,4,5.64
2014,2,1,2,5,2.99
2014,2,1,2,6,29.24
2014,2,1,3,1,74.21
2014,2,1,3,2,130.83
2014,2,1,3,3,108.92
2014,2,1,3,4,83.43
2014,2,1,3,5,63.00
2014,2,1,3,6,53.40
2014,2,1,4,1,104.32
2014,2,1,4,2,144.36
2014,2,1,4,3,116.43
2014,2,1,4,4,96.96
2014,2,1,4,5,80.18
2014,2,1,4,6,67.96
2014,2,2,0,1,28.47
2014,2,2,0,2,24.21
2014,2,2,0,3,12.82
2014,2,2,0,4,14.59
2014,2,2,0,5,16.91
2014,2,2,0,6,17.11
2014,2,2,1,1,10.68
2014,2,2,1,2,13.04
2014,2,2,1,3,3.97
2014,2,2,1,4,6.84
2014,2,2,1,5,8.59
2014,2,2,1,6,7.49
2014,2,2,2,1,5.34
2014,2,2,2,2,7.83
2014,2,2,2,3,1.19
2014,2,2,2,4,.96
2014,2,2,2,5,1.56
2014,2,2,2,6,2.13
2014,2,2,3,1,19.57
2014,2,2,3,2,14.90
2014,2,2,3,3,5.17
2014,2,2,3,4,7.35
2014,2,2,3,5,7.81
2014,2,2,3,6,10.98
2014,2,2,4,1,19.57
2014,2,2,4,2,22.35
2014,2,2,4,3,7.84
2014,2,2,4,4,12.05
2014,2,2,4,5,13.79
2014,2,2,4,6,15.07
2014,2,3,0,1,128.09
2014,2,3,0,2,101.82
2014,2,3,0,3,66.27
2014,2,3,0,4,99.86
2014,2,3,0,5,83.00
2014,2,3,0,6,63.90
2014,2,3,1,1,49.65
2014,2,3,1,2,47.27
2014,2,3,1,3,16.73
2014,2,3,1,4,33.20
2014,2,3,1,5,34.00
2014,2,3,1,6,31.95
2014,2,3,2,1,4.73
2014,2,3,2,2,21.74
2014,2,3,2,3,3.12
2014,2,3,2,4,3.09
2014,2,3,2,5,2.46
2014,2,3,2,6,7.11
2014,2,3,3,1,70.92
2014,2,3,3,2,40.00
2014,2,3,3,3,26.10
2014,2,3,3,4,46.71
2014,2,3,3,5,36.24
2014,2,3,3,6,23.16
2014,2,3,4,1,96.93
2014,2,3,4,2,72.73
2014,2,3,4,3,41.50
2014,2,3,4,4,67.43
2014,2,3,4,5,62.19
2014,2,3,4,6,47.12
2014,2,4,0,1,70.59
2014,2,4,0,3,71.79
2014,2,4,0,4,58.95
2014,2,4,0,5,55.15
2014,2,4,0,6,64.52
2014,2,4,1,1,47.06
2014,2,4,1,3,32.97
2014,2,4,1,4,23.58
2014,2,4,1,5,26.96
2014,2,4,1,6,23.46
2014,2,4,2,1,23.53
2014,2,4,2,4,4.29
2014,2,4,2,5,7.43
2014,2,4,3,1,58.82
2014,2,4,3,3,35.90
2014,2,4,3,4,33.23
2014,2,4,3,5,24.51
2014,2,4,3,6,32.26
2014,2,4,4,1,70.59
2014,2,4,4,3,51.28
2014,2,4,4,4,47.16
2014,2,4,4,5,50.25
2014,2,4,4,6,49.85
2014,2,5,0,1,49.69
2014,2,5,0,2,48.19
2014,2,5,0,3,39.41
2014,2,5,0,4,28.58
2014,2,5,0,5,37.73
2014,2,5,0,6,46.59
2014,2,5,1,1,12.98
2014,2,5,1,2,13.68
2014,2,5,1,3,9.17
2014,2,5,1,4,7.92
2014,2,5,1,5,12.52
2014,2,5,1,6,13.94
2014,2,5,2,1,3.20
2014,2,5,2,2,3.16
2014,2,5,2,3,1.74
2014,2,5,2,4,1.54
2014,2,5,2,5,2.35
2014,2,5,2,6,2.37
2014,2,5,3,1,30.00
2014,2,5,3,2,28.01
2014,2,5,3,3,20.28
2014,2,5,3,4,15.60
2014,2,5,3,5,21.14
2014,2,5,3,6,26.04
2014,2,5,4,1,37.29
2014,2,5,4,2,35.36
2014,2,5,4,3,27.08
2014,2,5,4,4,21.48
2014,2,5,4,5,29.99
2014,2,5,4,6,35.43
2014,2,6,0,1,9.79
2014,2,6,0,2,4.85
2014,2,6,0,3,10.92
2014,2,6,0,4,2.58
2014,2,6,0,5,5.71
2014,2,6,0,6,7.95
2014,2,6,1,1,3.28
2014,2,6,1,2,.69
2014,2,6,1,3,4.30
2014,2,6,1,4,.64
2014,2,6,1,5,3.33
2014,2,6,1,6,3.88
2014,2,6,2,1,2.11
2014,2,6,2,2,.32
2014,2,6,2,3,2.10
2014,2,6,2,5,10.10
2014,2,6,3,1,4.42
2014,2,6,3,2,2.89
2014,2,6,3,3,4.63
2014,2,6,3,4,1.72
2014,2,6,3,5,1.90
2014,2,6,3,6,4.21
2014,2,6,4,1,5.69
2014,2,6,4,2,3.28
2014,2,6,4,3,8.61
2014,2,6,4,4,1.93
2014,2,6,4,5,4.28
2014,2,6,4,6,5.11
2014,2,8,0,1,76.41
2014,2,8,0,2,43.58
2014,2,8,0,3,36.12
2014,2,8,0,4,32.72
2014,2,8,0,5,34.48
2014,2,8,0,6,31.07
2014,2,8,1,1,26.29
2014,2,8,1,2,12.81
2014,2,8,1,3,12.73
2014,2,8,1,4,9.20
2014,2,8,1,5,12.77
2014,2,8,1,6,12.41
2014,2,8,2,1,4.73
2014,2,8,2,2,2.38
2014,2,8,2,3,.00
2014,2,8,2,4,2.30
2014,2,8,2,5,1.92
2014,2,8,2,6,2.62
2014,2,8,3,1,46.80
2014,2,8,3,2,20.95
2014,2,8,3,3,20.29
2014,2,8,3,4,18.92
2014,2,8,3,5,19.16
2014,2,8,3,6,22.41
2014,2,8,4,1,57.31
2014,2,8,4,2,24.45
2014,2,8,4,3,26.22
2014,2,8,4,4,25.56
2014,2,8,4,5,25.86
2014,2,8,4,6,25.98
2014,2,9,0,1,36.36
