"date","ageSib","ethnicityCensus","geog","datacol"
2016,1,2,3,2502
2016,1,2,4,10688
2016,1,2,5,1404
2016,1,2,6,868
2016,1,3,1,212
2016,1,3,2,84
2016,1,3,3,756
2016,1,3,4,3769
2016,1,3,5,1917
2016,1,3,6,407
2016,1,4,1,51
2016,1,4,2,0
2016,1,4,3,100
2016,1,4,4,405
2016,1,4,5,391
2016,1,4,6,66
2016,1,5,1,17911
2016,1,5,2,11273
2016,1,5,3,23007
2016,1,5,4,37684
2016,1,5,5,21337
2016,1,5,6,22688
2016,1,6,1,1600
2016,1,6,2,3471
2016,1,6,3,1455
2016,1,6,4,2787
2016,1,6,5,1190
2016,1,6,6,973
2016,1,8,1,568
2016,1,8,2,365
2016,1,8,3,1159
2016,1,8,4,2485
2016,1,8,5,1824
2016,1,8,6,972
2016,1,9,1,3359
2016,1,9,2,6150
2016,1,9,3,3507
2016,1,9,4,6164
2016,1,9,5,3126
2016,1,9,6,2464
2016,1,10,1,1133
2016,1,10,2,554
2016,1,10,3,3810
2016,1,10,4,13411
2016,1,10,5,3550
2016,1,10,6,1965
2016,1,11,1,16410
2016,1,11,2,8869
2016,1,11,3,21328
2016,1,11,4,34906
2016,1,11,5,19959
2016,1,11,6,21495
2016,1,12,1,185
2016,1,12,2,63
2016,1,12,3,719
2016,1,12,4,3656
2016,1,12,5,1788
2016,1,12,6,382
2016,2,0,1,102437
2016,2,0,2,75961
2016,2,0,3,144886
2016,2,0,4,232688
2016,2,0,5,137646
2016,2,0,6,140407
2016,2,1,1,836
2016,2,1,2,665
2016,2,1,3,1065
2016,2,1,4,887
2016,2,1,5,873
2016,2,1,6,1090
2016,2,2,1,660
2016,2,2,2,545
2016,2,2,3,5326
2016,2,2,4,17679
2016,2,2,5,3843
2016,2,2,6,2460
2016,2,3,1,445
2016,2,3,2,276
2016,2,3,3,1494
2016,2,3,4,7771
2016,2,3,5,4470
2016,2,3,6,1252
2016,2,4,1,85
2016,2,4,2,0
2016,2,4,3,207
2016,2,4,4,933
2016,2,4,5,816
2016,2,4,6,341
2016,2,5,1,44698
2016,2,5,2,27887
2016,2,5,3,59306
2016,2,5,4,80508
2016,2,5,5,53586
2016,2,5,6,61108
2016,2,6,1,3414
2016,2,6,2,7680
2016,2,6,3,3024
2016,2,6,4,4654
2016,2,6,5,2103
2016,2,6,6,1983
2016,2,8,1,1065
2016,2,8,2,927
2016,2,8,3,2021
2016,2,8,4,3912
2016,2,8,5,3132
2016,2,8,6,1969
2016,2,9,1,6414
2016,2,9,2,13060
2016,2,9,3,6476
2016,2,9,4,9990
2016,2,9,5,5324
2016,2,9,6,4719
2016,2,10,1,2327
2016,2,10,2,1521
2016,2,10,3,8106
2016,2,10,4,22541
2016,2,10,5,8019
2016,2,10,6,5411
2016,2,11,1,42071
2016,2,11,2,23178
2016,2,11,3,56430
2016,2,11,4,76244
2016,2,11,5,51179
2016,2,11,6,58882
2016,2,12,1,422
2016,2,12,2,222
2016,2,12,3,1431
2016,2,12,4,7569
2016,2,12,5,4301
2016,2,12,6,1192
2016,3,0,1,39450
2016,3,0,2,37217
2016,3,0,3,47970
2016,3,0,4,75936
2016,3,0,5,46966
2016,3,0,6,46626
2016,3,1,1,375
2016,3,1,2,294
2016,3,1,3,391
2016,3,1,4,354
