date,ageSib,ethnicityCensus,allegation,geog,datacol
2014,0,5,3,35,64.81
2014,0,5,3,36,42.14
2014,0,5,3,37,39.17
2014,0,5,3,38,36.14
2014,0,5,3,39,53.86
2014,0,5,4,1,57.38
2014,0,5,4,2,68.69
2014,0,5,4,3,37.75
2014,0,5,4,4,46.12
2014,0,5,4,5,51.04
2014,0,5,4,6,40.55
2014,0,5,4,7,62.96
2014,0,5,4,8,79.77
2014,0,5,4,9,38.60
2014,0,5,4,10,87.40
2014,0,5,4,11,49.06
2014,0,5,4,12,97.01
2014,0,5,4,13,68.15
2014,0,5,4,14,40.99
2014,0,5,4,15,39.66
2014,0,5,4,16,50.85
2014,0,5,4,17,26.18
2014,0,5,4,18,38.92
2014,0,5,4,19,38.53
2014,0,5,4,20,74.07
2014,0,5,4,21,79.25
2014,0,5,4,22,47.14
2014,0,5,4,23,61.93
2014,0,5,4,24,65.80
2014,0,5,4,25,103.55
2014,0,5,4,26,52.11
2014,0,5,4,27,41.73
2014,0,5,4,28,41.93
2014,0,5,4,29,49.02
2014,0,5,4,30,68.49
2014,0,5,4,31,34.04
2014,0,5,4,32,54.85
2014,0,5,4,33,49.34
2014,0,5,4,34,34.18
2014,0,5,4,35,78.70
2014,0,5,4,36,52.37
2014,0,5,4,37,46.95
2014,0,5,4,38,42.22
2014,0,5,4,39,65.61
2014,0,6,0,1,14.18
2014,0,6,0,3,5.19
2014,0,6,0,4,12.20
2014,0,6,0,6,2.98
2014,0,6,0,8,8.08
2014,0,6,0,9,12.62
2014,0,6,0,11,3.68
2014,0,6,0,13,8.82
2014,0,6,0,14,.00
2014,0,6,0,15,68.97
2014,0,6,0,17,3.10
2014,0,6,0,18,11.44
2014,0,6,0,19,13.61
2014,0,6,0,21,7.50
2014,0,6,0,23,29.13
2014,0,6,0,24,6.75
2014,0,6,0,25,29.41
2014,0,6,0,27,3.60
2014,0,6,0,29,9.56
2014,0,6,0,31,5.43
2014,0,6,0,32,5.41
2014,0,6,0,34,7.69
2014,0,6,0,36,11.08
2014,0,6,0,37,14.32
2014,0,6,0,39,6.19
2014,0,6,1,1,3.55
2014,0,6,1,3,2.79
2014,0,6,1,4,4.44
2014,0,6,1,6,.99
2014,0,6,1,8,4.04
2014,0,6,1,9,3.15
2014,0,6,1,11,.74
2014,0,6,1,13,3.17
2014,0,6,1,15,34.48
2014,0,6,1,17,1.19
2014,0,6,1,18,4.58
2014,0,6,1,19,13.61
2014,0,6,1,21,5.00
2014,0,6,1,23,19.42
2014,0,6,1,25,29.41
2014,0,6,1,27,2.03
2014,0,6,1,29,4.78
2014,0,6,1,31,2.36
2014,0,6,1,34,2.56
2014,0,6,1,36,3.16
2014,0,6,1,37,4.41
2014,0,6,1,39,1.55
2014,0,6,2,4,1.11
2014,0,6,2,11,.49
2014,0,6,2,13,.71
2014,0,6,2,15,22.99
2014,0,6,2,17,.27
2014,0,6,2,18,4.58
2014,0,6,2,29,1.37
2014,0,6,2,31,.71
2014,0,6,2,32,4.05
2014,0,6,2,37,2.20
2014,0,6,2,39,.31
2014,0,6,3,1,9.46
2014,0,6,3,3,3.59
2014,0,6,3,4,4.99
2014,0,6,3,6,1.98
2014,0,6,3,8,6.06
2014,0,6,3,9,6.31
2014,0,6,3,11,2.45
2014,0,6,3,13,6.35
2014,0,6,3,15,57.47
2014,0,6,3,17,1.74
2014,0,6,3,18,9.15
2014,0,6,3,19,13.61
2014,0,6,3,23,9.71
2014,0,6,3,24,5.06
2014,0,6,3,25,.00
2014,0,6,3,27,1.80
2014,0,6,3,29,4.78
2014,0,6,3,31,2.36
2014,0,6,3,32,4.05
2014,0,6,3,34,2.56
2014,0,6,3,36,11.08
2014,0,6,3,37,8.81
2014,0,6,3,39,3.92
2014,0,6,4,1,11.82
2014,0,6,4,3,4.79
2014,0,6,4,4,8.32
2014,0,6,4,6,2.48
2014,0,6,4,8,8.08
2014,0,6,4,9,6.31
2014,0,6,4,11,2.94
2014,0,6,4,13,7.76
2014,0,6,4,15,68.97
2014,0,6,4,17,2.65
2014,0,6,4,18,11.44
2014,0,6,4,19,13.61
2014,0,6,4,21,5.00
2014,0,6,4,23,19.42
2014,0,6,4,24,5.06
2014,0,6,4,25,29.41
2014,0,6,4,27,2.93
2014,0,6,4,29,8.20
2014,0,6,4,31,4.48
2014,0,6,4,32,4.05
2014,0,6,4,34,3.85
2014,0,6,4,36,11.08
2014,0,6,4,37,12.11
2014,0,6,4,39,4.54
2014,0,8,0,1,357.14
2014,0,8,0,3,42.48
2014,0,8,0,4,87.59
2014,0,8,0,5,70.71
2014,0,8,0,6,33.40
2014,0,8,0,8,161.51
2014,0,8,0,9,216.22
2014,0,8,0,11,80.00
2014,0,8,0,13,104.32
2014,0,8,0,14,134.50
2014,0,8,0,15,35.71
2014,0,8,0,17,46.38
2014,0,8,0,18,50.12
2014,0,8,0,20,230.77
2014,0,8,0,21,104.58
2014,0,8,0,23,122.45
2014,0,8,0,24,107.69
2014,0,8,0,27,49.90
2014,0,8,0,29,95.74
2014,0,8,0,31,46.40
2014,0,8,0,32,120.95
2014,0,8,0,33,171.43
2014,0,8,0,34,38.93
2014,0,8,0,36,121.62
2014,0,8,0,37,70.55
2014,0,8,0,38,66.67
2014,0,8,0,39,52.97
2014,0,8,1,1,285.71
2014,0,8,1,3,10.62
2014,0,8,1,4,21.90
2014,0,8,1,5,20.20
2014,0,8,1,6,13.10
2014,0,8,1,8,44.67
2014,0,8,1,9,54.05
2014,0,8,1,11,34.29
2014,0,8,1,13,32.37
2014,0,8,1,14,29.24
2014,0,8,1,16,111.11
2014,0,8,1,17,11.78
2014,0,8,1,18,13.74
2014,0,8,1,19,263.16
2014,0,8,1,21,32.68
2014,0,8,1,23,47.62
2014,0,8,1,27,16.12
2014,0,8,1,29,14.18
2014,0,8,1,31,11.10
2014,0,8,1,32,28.42
2014,0,8,1,33,42.86
2014,0,8,1,34,13.79
2014,0,8,1,36,40.54
2014,0,8,1,37,17.64
2014,0,8,1,38,66.67
2014,0,8,1,39,12.71
2014,0,8,2,3,3.54
2014,0,8,2,4,21.90
2014,0,8,2,5,10.10
2014,0,8,2,6,1.31
2014,0,8,2,8,6.87
